logFC	AveExpr	t	P.Value	adj.P.Val	B
TMOD2|29767	1.08758953542586	1.34583801678118	3.4446658402699	0.000671693222115139	1	-0.57177988062022
GAL|51083	2.47980462586433	-1.01122285927704	3.44394995458738	0.000673391729021253	1	-0.672282478492774
TMEM14B|81853	-0.681570008742161	5.4961632028057	-3.44235105938555	0.00067719977630662	1	-0.557557303448551
MAML1|9794	0.484820308818994	5.82436710964563	3.4239932017806	0.000722389605047358	1	-0.647632636734996
LYPD6|130574	1.15525083348339	2.58499569711839	3.42329470887941	0.000724163455343216	1	-0.579380088202395
USP3|9960	0.537328545791346	4.54550660343264	3.42117042641002	0.000729583203510537	1	-0.629029552330184
SPRY4|81848	1.28560428025927	5.265787978599	3.42055863263481	0.000731151108775843	1	-0.659352681898472
SF3B1|23451	0.530728240461181	8.09477814432508	3.42048945167655	0.000731328603790513	1	-0.650151192266813
ARL5B|221079	0.900916853809041	3.01456159986067	3.42008228576939	0.000732374070426309	1	-0.591321587117514
SVOPL|136306	-2.19197640451788	-0.67629491252326	-3.41787637365873	0.000738062441645967	1	-1.04099975145235
PCDHB11|56125	1.35630873701355	2.83121220538108	3.41062199343506	0.000757061734152632	1	-0.625893232507383
NSFL1C|55968	-0.47888285349397	6.58869787476062	-3.41018187053611	0.000758228996319416	1	-0.689419732643208
SEMA3A|10371	1.90364009788256	1.84987039703352	3.40129756000428	0.000782153849896088	1	-0.644514102349613
RANBP6|26953	0.592536788499177	4.09326851535149	3.39619944457393	0.000796199217778366	1	-0.690102770382111
ABHD12|26090	-0.678709851470275	6.83263076337451	-3.3921899418361	0.000807410504927147	1	-0.74580790654993
ARID3B|10620	0.685751913634621	3.86344305888234	3.38883913834404	0.000816892821008494	1	-0.707934176204299
IVD|3712	-0.537375167368142	6.26040841330123	-3.38675216821923	0.000822851087778886	1	-0.75583035162736
ZNF681|148213	-1.56830621093248	2.33579930016551	-3.38653956743888	0.000823460330887253	1	-0.874478339601118
OLFM1|10439	1.79536572344058	1.26582148002155	3.38456691776182	0.000829133400121274	1	-0.703507493100494
CENPO|79172	0.941574894390083	2.73338146294058	3.38285450197505	0.000834087627377725	1	-0.699361338790264
TACR2|6865	-1.62175005618605	0.509035057029733	-3.37946430142456	0.000843977481436905	1	-1.03535964677647
CCND1|595	1.51204795107867	7.45651997442341	3.37832052355101	0.000847338708515784	1	-0.778184065254231
KIAA1211|57482	1.21774131075703	2.72852714979534	3.377690021416	0.000849196905390084	1	-0.718745631297754
CERK|64781	0.752996062827624	5.54135695941228	3.37405880763377	0.000859972925536826	1	-0.80196677306406
ANGPT2|285	1.11205969318384	3.82312644063214	3.37154790741666	0.000867498753964892	1	-0.775004342524918
HLA-DRA|3122	-1.56740396490858	8.61905281107195	-3.37153607054542	0.00086753437723466	1	-0.812338162620519
ZBTB5|9925	0.54501072272006	4.32612564460173	3.37097529376034	0.00086922360928065	1	-0.775061292909769
